"";"periodo";"hd_vitima";"hd_ocorr";"lat_ocorr";"lat_vitima";"tot_estupro";"estupro_vuln";"roubo_outros";"roubo_veiculos";"roubo_total";"extor_seq";"lesao_morte";"regiao";"deinter";"let_ser";"let_fol";"mort_ser";"mort_fol"
"1";"2018/1º Semestre";361;344;36;37;1331;893;68555;13411;70732;6;9;"Capital";NA;148;53;3;8
"2";"2018/2º Semestre";362;328;44;45;1259;899;63777;13449;65857;2;5;"Capital";NA;130;80;4;14
"3";"2019/1º Semestre";346;328;31;32;1243;866;66421;10709;68170;3;9;"Capital";NA;162;35;5;6
"4";"2019/2º Semestre";339;322;33;34;1420;1025;70948;10520;72964;1;13;"Capital";NA;160;49;4;8
"5";"2020/1º Semestre";357;337;26;26;1096;793;66665;7207;68130;3;19;"Capital";NA;187;44;6;7
"6";"2020/2º Semestre";352;322;20;20;1222;921;57887;6758;59383;4;13;"Capital";NA;120;53;6;6
"7";"2021/1º Semestre";320;301;32;34;1195;862;59946;6275;61412;7;13;"Capital";NA;131;48;0;4
"8";"2021/2º Semestre";283;262;21;22;1144;827;65572;7381;67177;12;4;"Capital";NA;65;48;0;3
"9";"2022/1º Semestre";260;247;30;30;1173;860;67333;7253;68907;12;13;"Capital";NA;46;51;2;6
"10";"2018/1º Semestre";341;318;38;39;1242;910;32032;8818;33245;6;8;"Grande São Paulo";NA;66;22;0;4
"11";"2018/2º Semestre";373;351;30;30;1243;924;29797;9758;30988;1;5;"Grande São Paulo";NA;67;18;4;4
"12";"2019/1º Semestre";323;298;19;20;1180;892;28774;7474;29696;1;15;"Grande São Paulo";NA;58;16;1;0
"13";"2019/2º Semestre";272;268;24;25;1324;1000;28438;6917;29363;4;7;"Grande São Paulo";NA;79;17;0;0
"14";"2020/1º Semestre";361;347;15;15;1024;784;24830;4890;25652;0;14;"Grande São Paulo";NA;89;30;2;1
"15";"2020/2º Semestre";313;295;19;20;1236;966;23279;4982;24104;2;9;"Grande São Paulo";NA;33;11;0;3
"16";"2021/1º Semestre";292;276;22;22;1224;960;25627;4833;26623;1;11;"Grande São Paulo";NA;55;10;0;3
"17";"2021/2º Semestre";238;225;11;13;1160;947;26851;6208;27852;1;7;"Grande São Paulo";NA;45;16;2;1
"18";"2022/1º Semestre";295;280;14;14;1242;967;25683;6373;26751;3;6;"Grande São Paulo";NA;19;10;0;2
"19";"2018/1º Semestre";868;833;61;63;3535;2580;31787;6594;32918;5;22;"Interior";NA;116;15;3;9
"20";"2018/2º Semestre";801;775;61;64;3339;2458;28375;6940;29375;1;31;"Interior";NA;130;18;3;3
"21";"2019/1º Semestre";796;768;37;39;3537;2675;27786;5475;28662;2;31;"Interior";NA;148;13;3;1
"22";"2019/2º Semestre";830;794;48;49;3670;2759;25684;5422;26542;0;29;"Interior";NA;129;17;4;4
"23";"2020/1º Semestre";804;776;52;54;2951;2203;21630;4125;22302;1;40;"Interior";NA;168;15;6;6
"24";"2020/2º Semestre";851;816;47;48;3494;2737;18601;3929;19268;0;27;"Interior";NA;88;6;2;4
"25";"2021/1º Semestre";874;847;32;32;3338;2619;19946;3920;20663;0;19;"Interior";NA;97;10;0;4
"26";"2021/2º Semestre";840;802;48;50;3701;2886;21217;4424;21979;2;22;"Interior";NA;52;11;6;2
"27";"2022/1º Semestre";899;868;41;41;3665;2864;22749;4885;23358;2;34;"Interior";NA;71;14;2;5
"28";"2018/1º Semestre";173;165;11;11;349;260;4348;810;4450;0;3;"Interior";"Deinter 01";11;1;1;0
"29";"2018/2º Semestre";165;161;13;15;366;274;3764;846;3848;0;0;"Interior";"Deinter 01";7;2;0;0
"30";"2019/1º Semestre";160;152;6;7;428;322;3534;675;3628;0;2;"Interior";"Deinter 01";15;1;1;0
"31";"2019/2º Semestre";143;139;5;6;414;315;3256;616;3343;0;5;"Interior";"Deinter 01";12;2;0;1
"32";"2020/1º Semestre";163;152;2;2;300;218;2765;473;2813;0;2;"Interior";"Deinter 01";24;2;2;1
"33";"2020/2º Semestre";181;174;6;6;360;285;2181;424;2253;0;5;"Interior";"Deinter 01";13;0;1;0
"34";"2021/1º Semestre";159;156;6;6;307;246;2473;423;2545;0;2;"Interior";"Deinter 01";16;0;0;0
"35";"2021/2º Semestre";176;167;7;7;370;275;2505;466;2568;0;4;"Interior";"Deinter 01";9;0;1;0
"36";"2022/1º Semestre";208;197;6;6;322;241;2345;431;2404;0;5;"Interior";"Deinter 01";6;0;1;1
"37";"2018/1º Semestre";127;124;9;9;503;315;6206;2429;6497;1;6;"Interior";"Deinter 02";19;3;1;1
"38";"2018/2º Semestre";130;123;12;12;428;288;6207;2585;6495;0;4;"Interior";"Deinter 02";16;4;1;0
"39";"2019/1º Semestre";142;137;5;6;473;331;5789;1901;6018;0;3;"Interior";"Deinter 02";19;1;0;0
"40";"2019/2º Semestre";145;136;8;8;450;332;5693;2057;5976;0;4;"Interior";"Deinter 02";15;3;1;1
"41";"2020/1º Semestre";125;121;15;15;373;256;4398;1478;4663;0;11;"Interior";"Deinter 02";29;2;0;0
"42";"2020/2º Semestre";108;107;11;11;464;353;3931;1515;4166;0;0;"Interior";"Deinter 02";13;1;0;1
"43";"2021/1º Semestre";123;116;2;2;433;331;4227;1472;4466;0;2;"Interior";"Deinter 02";8;1;0;0
"44";"2021/2º Semestre";102;92;3;3;499;388;4697;1737;4927;0;4;"Interior";"Deinter 02";9;1;0;0
"45";"2022/1º Semestre";125;123;4;4;519;401;4922;1816;5128;1;2;"Interior";"Deinter 02";8;4;0;0
"46";"2018/1º Semestre";112;109;7;7;465;349;3715;613;3789;1;4;"Interior";"Deinter 03";15;1;0;2
"47";"2018/2º Semestre";104;103;6;6;442;302;3330;679;3407;1;10;"Interior";"Deinter 03";20;1;0;0
"48";"2019/1º Semestre";115;108;3;3;450;331;3333;592;3423;1;6;"Interior";"Deinter 03";11;0;1;1
"49";"2019/2º Semestre";116;112;7;7;506;367;2759;525;2839;0;2;"Interior";"Deinter 03";6;2;0;0
"50";"2020/1º Semestre";91;88;8;8;375;278;2262;429;2313;0;4;"Interior";"Deinter 03";11;2;0;1
"51";"2020/2º Semestre";109;107;7;7;438;333;2170;459;2233;0;5;"Interior";"Deinter 03";6;0;0;0
"52";"2021/1º Semestre";126;121;9;9;505;383;2402;497;2488;0;5;"Interior";"Deinter 03";13;1;0;1
"53";"2021/2º Semestre";126;125;10;10;533;401;2968;502;3072;0;4;"Interior";"Deinter 03";6;4;0;0
"54";"2022/1º Semestre";125;117;7;7;513;390;2813;583;2882;0;7;"Interior";"Deinter 03";7;3;0;0
"55";"2018/1º Semestre";42;42;3;3;312;240;956;68;975;0;1;"Interior";"Deinter 04";8;0;1;0
