"";"periodo";"cod_reg";"item";"Total"
"1";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";6
"2";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";6
"3";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";9
"4";"2020/1º Semestre";10;"FEMINICÍDIO";4
"5";"2020/1º Semestre";20;"FEMINICÍDIO";1
"6";"2020/1º Semestre";30;"FEMINICÍDIO";7
"7";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO - TOTAL";10
"8";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO - TOTAL";7
"9";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO - TOTAL";16
"10";"2020/1º Semestre";10;"LESÃO CORPORAL DOLOSA";977
"11";"2020/1º Semestre";20;"LESÃO CORPORAL DOLOSA";903
"12";"2020/1º Semestre";30;"LESÃO CORPORAL DOLOSA";3062
"13";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";3
"14";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";3
"15";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";10
"16";"2020/1º Semestre";10;"FEMINICÍDIO";5
"17";"2020/1º Semestre";20;"FEMINICÍDIO";3
"18";"2020/1º Semestre";30;"FEMINICÍDIO";10
"19";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO - TOTAL";8
"20";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO - TOTAL";6
"21";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO - TOTAL";20
"22";"2020/1º Semestre";10;"LESÃO CORPORAL DOLOSA";1034
"23";"2020/1º Semestre";20;"LESÃO CORPORAL DOLOSA";872
"24";"2020/1º Semestre";30;"LESÃO CORPORAL DOLOSA";2707
"25";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";4
"26";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";2
"27";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";10
"28";"2020/1º Semestre";10;"FEMINICÍDIO";2
"29";"2020/1º Semestre";20;"FEMINICÍDIO";6
"30";"2020/1º Semestre";30;"FEMINICÍDIO";12
"31";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO - TOTAL";6
"32";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO - TOTAL";8
"33";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO - TOTAL";22
"34";"2020/1º Semestre";10;"LESÃO CORPORAL DOLOSA";926
"35";"2020/1º Semestre";20;"LESÃO CORPORAL DOLOSA";730
"36";"2020/1º Semestre";30;"LESÃO CORPORAL DOLOSA";2673
"37";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";2
"38";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";6
"39";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";7
"40";"2020/1º Semestre";10;"FEMINICÍDIO";3
"41";"2020/1º Semestre";20;"FEMINICÍDIO";2
"42";"2020/1º Semestre";30;"FEMINICÍDIO";16
"43";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO - TOTAL";5
"44";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO - TOTAL";8
"45";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO - TOTAL";23
"46";"2020/1º Semestre";10;"LESÃO CORPORAL DOLOSA";594
"47";"2020/1º Semestre";20;"LESÃO CORPORAL DOLOSA";634
"48";"2020/1º Semestre";30;"LESÃO CORPORAL DOLOSA";2016
"49";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";5
"50";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";5
"51";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";10
"52";"2020/1º Semestre";10;"FEMINICÍDIO";1
"53";"2020/1º Semestre";20;"FEMINICÍDIO";1
"54";"2020/1º Semestre";30;"FEMINICÍDIO";6
"55";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO - TOTAL";6
"56";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO - TOTAL";6
"57";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO - TOTAL";16
"58";"2020/1º Semestre";10;"LESÃO CORPORAL DOLOSA";599
"59";"2020/1º Semestre";20;"LESÃO CORPORAL DOLOSA";540
"60";"2020/1º Semestre";30;"LESÃO CORPORAL DOLOSA";2098
"61";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";5
"62";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";5
"63";"2020/1º Semestre";30;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";11
"64";"2020/1º Semestre";10;"FEMINICÍDIO";1
"65";"2020/1º Semestre";20;"FEMINICÍDIO";2
"66";"2020/1º Semestre";30;"FEMINICÍDIO";5
"67";"2020/1º Semestre";10;"HOMICÍDIO DOLOSO - TOTAL";6
"68";"2020/1º Semestre";20;"HOMICÍDIO DOLOSO - TOTAL";7
